Latitude,Longitude,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
29,79,98.74,98.51,98.32,97.99,97.37,97.16,97.24,97.49,97.84,98.26,98.77,99.05,98.92,98.91,98.36,97.82,97.29,97.18,97.03,97.45,97.99,98.38,98.7,98.89,99.07,98.77,98.42,97.93,97.54,97,97.38,97.5,97.83,98.45,98.8,99.03,98.91,98.72,98.23,97.78,97.43,97.28,97.24,97.42,97.95,98.6,98.85,98.92,98.92,98.77,98.42,98.15,97.6,97.03,97.29,97.35,97.84,98.48,98.72,98.89,98.87,98.59,98.41,97.89,97.53,97.37,97.22,97.49,97.88,98.48,98.72,98.98,99.02,98.7,98.46,97.96,97.6,97.19,97.18,97.41,97.69,98.32,98.73,98.88,98.81,98.69,98.2,97.95,97.49,97.27,97.26,97.46,97.86,98.42,98.75,98.86,98.94,98.58,98.36,97.91,97.49,97.16,97.11,97.5,97.84,98.36,98.75,98.91,99.06,98.73,98.28,97.83,97.4,97.23,97.41,97.59,97.88,98.23,98.67,98.69,98.82,98.66,98.35,98.12,97.48,97.16,97.32,97.49,97.71,98.37,98.72,98.87,98.86,98.59,98.31,97.94,97.51,96.91,97.08,97.44,97.84,98.45,98.63,98.78,98.94,98.83,98.43,97.94,97.33,97.18,97.2,97.51,97.84,98.36,98.78,98.84,99.09,98.69,98.6,98.14,97.7,97.03,97.23,97.45,97.82,98.51,98.67,98.95,99.07,98.76,98.69,98.12,97.6,97.3,97.31,97.56,97.93,98.5,98.76,98.98,98.94,98.84,98.47,97.82,97.53,97.37,97.32,97.49,97.79,98.19,98.68,98.89,98.98,98.8,98.32,97.8,97.61,97.27,97.32,97.46,97.84,98.21,98.71,98.96,98.74,98.72,98.28,97.94,97.59,97.12,97.13,97.37,97.93,98.53,98.79,99.01,99.06,98.84,98.54,98.02,97.64,97.28,97.19,97.43,97.93,98.52,98.75,99.09,98.99,98.96,98.56,98.2,97.75,97.4,97.36,97.36,97.71,98.14,98.86,98.85,98.8,98.69,98.31,98.07,97.76,97.38,97.28,97.52,97.88,98.23,98.68,99.07
29,79.25,97.58,97.38,97.25,96.94,96.37,96.16,96.23,96.47,96.81,97.22,97.68,97.94,97.8,97.78,97.28,96.79,96.29,96.19,96.02,96.45,96.95,97.33,97.61,97.76,97.92,97.66,97.34,96.9,96.5,96.01,96.37,96.47,96.79,97.37,97.68,97.92,97.79,97.61,97.15,96.75,96.4,96.26,96.25,96.4,96.92,97.54,97.76,97.79,97.78,97.63,97.34,97.09,96.57,96.02,96.28,96.34,96.82,97.42,97.6,97.75,97.71,97.48,97.32,96.85,96.55,96.35,96.22,96.47,96.85,97.43,97.62,97.83,97.85,97.6,97.35,96.92,96.6,96.2,96.18,96.4,96.66,97.24,97.65,97.72,97.65,97.57,97.13,96.88,96.47,96.27,96.25,96.43,96.8,97.36,97.65,97.73,97.79,97.45,97.28,96.83,96.49,96.13,96.11,96.48,96.81,97.27,97.64,97.78,97.92,97.61,97.21,96.79,96.39,96.21,96.41,96.59,96.83,97.17,97.55,97.55,97.65,97.54,97.26,97.08,96.48,96.16,96.31,96.48,96.67,97.3,97.63,97.73,97.71,97.45,97.21,96.89,96.48,95.88,96.08,96.42,96.79,97.36,97.52,97.62,97.78,97.71,97.33,96.88,96.31,96.19,96.18,96.48,96.78,97.29,97.64,97.69,97.94,97.54,97.48,97.07,96.65,96.01,96.23,96.42,96.78,97.44,97.54,97.79,97.92,97.66,97.58,97.07,96.57,96.27,96.29,96.52,96.86,97.44,97.65,97.84,97.82,97.71,97.39,96.75,96.53,96.37,96.31,96.47,96.75,97.12,97.57,97.76,97.83,97.66,97.22,96.76,96.59,96.25,96.32,96.44,96.79,97.16,97.61,97.81,97.57,97.6,97.19,96.91,96.56,96.11,96.12,96.35,96.88,97.46,97.69,97.87,97.92,97.71,97.43,96.98,96.6,96.27,96.19,96.42,96.9,97.45,97.62,97.95,97.83,97.85,97.47,97.15,96.74,96.41,96.35,96.35,96.66,97.06,97.74,97.69,97.64,97.59,97.23,97.01,96.73,96.36,96.28,96.49,96.85,97.14,97.55,97.93
29,79.5,97.58,97.38,97.25,96.94,96.37,96.16,96.23,96.47,96.81,97.22,97.68,97.94,97.8,97.78,97.28,96.79,96.29,96.19,96.02,96.45,96.95,97.33,97.61,97.76,97.92,97.66,97.34,96.9,96.5,96.01,96.37,96.47,96.79,97.37,97.68,97.92,97.79,97.61,97.15,96.75,96.4,96.26,96.25,96.4,96.92,97.54,97.76,97.79,97.78,97.63,97.34,97.09,96.57,96.02,96.28,96.34,96.82,97.42,97.6,97.75,97.71,97.48,97.32,96.85,96.55,96.35,96.22,96.47,96.85,97.43,97.62,97.83,97.85,97.6,97.35,96.92,96.6,96.2,96.18,96.4,96.66,97.24,97.65,97.72,97.65,97.57,97.13,96.88,96.47,96.27,96.25,96.43,96.8,97.36,97.65,97.73,97.79,97.45,97.28,96.83,96.49,96.13,96.11,96.48,96.81,97.27,97.64,97.78,97.92,97.61,97.21,96.79,96.39,96.21,96.41,96.59,96.83,97.17,97.55,97.55,97.65,97.54,97.26,97.08,96.48,96.16,96.31,96.48,96.67,97.3,97.63,97.73,97.71,97.45,97.21,96.89,96.48,95.88,96.08,96.42,96.79,97.36,97.52,97.62,97.78,97.71,97.33,96.88,96.31,96.19,96.18,96.48,96.78,97.29,97.64,97.69,97.94,97.54,97.48,97.07,96.65,96.01,96.23,96.42,96.78,97.44,97.54,97.79,97.92,97.66,97.58,97.07,96.57,96.27,96.29,96.52,96.86,97.44,97.65,97.84,97.82,97.71,97.39,96.75,96.53,96.37,96.31,96.47,96.75,97.12,97.57,97.76,97.83,97.66,97.22,96.76,96.59,96.25,96.32,96.44,96.79,97.16,97.61,97.81,97.57,97.6,97.19,96.91,96.56,96.11,96.12,96.35,96.88,97.46,97.69,97.87,97.92,97.71,97.43,96.98,96.6,96.27,96.19,96.42,96.9,97.45,97.62,97.95,97.83,97.85,97.47,97.15,96.74,96.41,96.35,96.35,96.66,97.06,97.74,97.69,97.64,97.59,97.23,97.01,96.73,96.36,96.28,96.49,96.85,97.14,97.55,97.93
29,79.75,95.86,95.69,95.62,95.33,94.8,94.58,94.63,94.85,95.19,95.58,95.99,96.23,96.08,96.1,95.64,95.2,94.74,94.62,94.44,94.84,95.31,95.69,95.93,96.05,96.18,95.97,95.68,95.3,94.93,94.45,94.78,94.85,95.16,95.71,95.99,96.2,96.07,95.9,95.51,95.17,94.82,94.68,94.66,94.78,95.29,95.88,96.07,96.07,96.06,95.95,95.69,95.49,95,94.46,94.69,94.73,95.2,95.76,95.92,96.04,96,95.81,95.67,95.26,94.99,94.78,94.62,94.86,95.24,95.79,95.95,96.12,96.13,95.92,95.69,95.33,95.03,94.64,94.59,94.79,95.04,95.59,95.96,96,95.95,95.86,95.51,95.28,94.89,94.68,94.64,94.82,95.18,95.71,95.95,96.02,96.08,95.76,95.63,95.22,94.93,94.57,94.53,94.87,95.19,95.62,95.96,96.07,96.19,95.93,95.57,95.21,94.84,94.65,94.83,94.98,95.21,95.52,95.86,95.83,95.92,95.86,95.61,95.48,94.92,94.58,94.7,94.87,95.04,95.65,95.92,96.01,96.01,95.77,95.56,95.29,94.91,94.32,94.49,94.81,95.18,95.72,95.84,95.9,96.06,96.03,95.67,95.27,94.75,94.62,94.59,94.86,95.15,95.64,95.95,95.97,96.22,95.84,95.81,95.44,95.06,94.44,94.63,94.8,95.15,95.79,95.85,96.06,96.17,95.98,95.91,95.45,95,94.7,94.67,94.89,95.22,95.79,95.98,96.12,96.1,96.02,95.74,95.15,94.95,94.8,94.71,94.85,95.13,95.48,95.88,96.03,96.12,95.96,95.56,95.18,95.03,94.66,94.71,94.82,95.17,95.52,95.92,96.1,95.83,95.91,95.55,95.31,94.99,94.53,94.52,94.73,95.25,95.83,96,96.14,96.21,96.03,95.76,95.38,95.02,94.71,94.59,94.81,95.29,95.81,95.95,96.21,96.11,96.14,95.81,95.53,95.17,94.83,94.76,94.75,95.05,95.42,96.06,95.98,95.91,95.89,95.59,95.41,95.14,94.76,94.68,94.87,95.21,95.49,95.85,96.19
29,80,95.86,95.69,95.62,95.33,94.8,94.58,94.63,94.85,95.19,95.58,95.99,96.23,96.08,96.1,95.64,95.2,94.74,94.62,94.44,94.84,95.31,95.69,95.93,96.05,96.18,95.97,95.68,95.3,94.93,94.45,94.78,94.85,95.16,95.71,95.99,96.2,96.07,95.9,95.51,95.17,94.82,94.68,94.66,94.78,95.29,95.88,96.07,96.07,96.06,95.95,95.69,95.49,95,94.46,94.69,94.73,95.2,95.76,95.92,96.04,96,95.81,95.67,95.26,94.99,94.78,94.62,94.86,95.24,95.79,95.95,96.12,96.13,95.92,95.69,95.33,95.03,94.64,94.59,94.79,95.04,95.59,95.96,96,95.95,95.86,95.51,95.28,94.89,94.68,94.64,94.82,95.18,95.71,95.95,96.02,96.08,95.76,95.63,95.22,94.93,94.57,94.53,94.87,95.19,95.62,95.96,96.07,96.19,95.93,95.57,95.21,94.84,94.65,94.83,94.98,95.21,95.52,95.86,95.83,95.92,95.86,95.61,95.48,94.92,94.58,94.7,94.87,95.04,95.65,95.92,96.01,96.01,95.77,95.56,95.29,94.91,94.32,94.49,94.81,95.18,95.72,95.84,95.9,96.06,96.03,95.67,95.27,94.75,94.62,94.59,94.86,95.15,95.64,95.95,95.97,96.22,95.84,95.81,95.44,95.06,94.44,94.63,94.8,95.15,95.79,95.85,96.06,96.17,95.98,95.91,95.45,95,94.7,94.67,94.89,95.22,95.79,95.98,96.12,96.1,96.02,95.74,95.15,94.95,94.8,94.71,94.85,95.13,95.48,95.88,96.03,96.12,95.96,95.56,95.18,95.03,94.66,94.71,94.82,95.17,95.52,95.92,96.1,95.83,95.91,95.55,95.31,94.99,94.53,94.52,94.73,95.25,95.83,96,96.14,96.21,96.03,95.76,95.38,95.02,94.71,94.59,94.81,95.29,95.81,95.95,96.21,96.11,96.14,95.81,95.53,95.17,94.83,94.76,94.75,95.05,95.42,96.06,95.98,95.91,95.89,95.59,95.41,95.14,94.76,94.68,94.87,95.21,95.49,95.85,96.19
29.25,79,95.47,95.3,95.19,94.92,94.37,94.15,94.2,94.43,94.77,95.16,95.57,95.81,95.65,95.68,95.23,94.78,94.3,94.19,94.04,94.41,94.89,95.26,95.51,95.64,95.77,95.54,95.27,94.88,94.51,94.02,94.34,94.43,94.74,95.29,95.58,95.77,95.63,95.49,95.11,94.74,94.41,94.26,94.2,94.36,94.85,95.45,95.64,95.66,95.64,95.54,95.29,95.07,94.57,94.05,94.24,94.3,94.76,95.33,95.51,95.63,95.6,95.41,95.26,94.83,94.53,94.34,94.18,94.43,94.8,95.37,95.53,95.71,95.74,95.48,95.3,94.91,94.58,94.18,94.14,94.35,94.61,95.17,95.53,95.61,95.55,95.45,95.09,94.88,94.46,94.23,94.2,94.38,94.76,95.29,95.52,95.61,95.68,95.37,95.23,94.83,94.49,94.15,94.09,94.44,94.75,95.21,95.54,95.65,95.78,95.52,95.17,94.8,94.4,94.24,94.37,94.53,94.77,95.1,95.45,95.42,95.52,95.44,95.2,95.05,94.48,94.15,94.27,94.42,94.62,95.23,95.5,95.6,95.58,95.36,95.16,94.88,94.5,93.92,94.05,94.37,94.74,95.3,95.42,95.52,95.64,95.59,95.28,94.87,94.32,94.15,94.14,94.44,94.74,95.22,95.55,95.58,95.81,95.43,95.43,95.06,94.66,94.03,94.2,94.39,94.74,95.38,95.47,95.67,95.78,95.55,95.51,95.03,94.59,94.28,94.25,94.48,94.83,95.38,95.58,95.72,95.69,95.62,95.34,94.76,94.51,94.35,94.26,94.43,94.7,95.07,95.48,95.63,95.73,95.57,95.17,94.76,94.6,94.26,94.26,94.39,94.75,95.1,95.51,95.7,95.46,95.51,95.16,94.89,94.57,94.12,94.09,94.29,94.83,95.39,95.58,95.73,95.79,95.6,95.37,94.95,94.61,94.28,94.16,94.38,94.85,95.37,95.54,95.79,95.69,95.71,95.39,95.11,94.71,94.36,94.31,94.3,94.63,95.02,95.66,95.59,95.52,95.49,95.19,95,94.69,94.32,94.24,94.45,94.8,95.09,95.44,95.79
29.25,79.25,89.32,89.23,89.19,89.02,88.57,88.35,88.37,88.56,88.9,89.21,89.52,89.66,89.47,89.57,89.23,88.93,88.54,88.43,88.29,88.56,88.98,89.3,89.46,89.5,89.59,89.41,89.24,89.01,88.71,88.27,88.5,88.57,88.83,89.32,89.51,89.61,89.44,89.38,89.16,88.9,88.61,88.47,88.4,88.5,88.95,89.45,89.56,89.53,89.46,89.43,89.29,89.16,88.76,88.31,88.41,88.47,88.87,89.35,89.45,89.48,89.48,89.37,89.24,88.96,88.73,88.54,88.35,88.57,88.91,89.4,89.47,89.59,89.59,89.36,89.26,89.04,88.78,88.43,88.32,88.49,88.73,89.22,89.45,89.48,89.4,89.33,89.14,88.99,88.64,88.4,88.36,88.51,88.86,89.3,89.47,89.5,89.56,89.29,89.23,88.95,88.69,88.41,88.31,88.59,88.86,89.25,89.48,89.5,89.59,89.41,89.21,88.98,88.65,88.49,88.55,88.66,88.86,89.13,89.4,89.27,89.32,89.34,89.2,89.13,88.7,88.34,88.42,88.55,88.71,89.24,89.42,89.47,89.39,89.26,89.16,88.98,88.7,88.2,88.25,88.51,88.84,89.32,89.36,89.38,89.45,89.47,89.26,88.97,88.55,88.37,88.3,88.56,88.82,89.23,89.47,89.43,89.61,89.31,89.37,89.12,88.83,88.3,88.39,88.55,88.83,89.4,89.41,89.52,89.56,89.45,89.45,89.09,88.79,88.5,88.4,88.6,88.94,89.41,89.54,89.57,89.51,89.54,89.35,88.91,88.71,88.58,88.43,88.56,88.81,89.13,89.43,89.5,89.55,89.48,89.15,88.91,88.8,88.46,88.42,88.53,88.86,89.16,89.44,89.58,89.29,89.42,89.18,89,88.77,88.34,88.28,88.42,88.92,89.41,89.51,89.54,89.6,89.47,89.32,89.06,88.81,88.53,88.35,88.53,88.95,89.4,89.51,89.59,89.49,89.54,89.33,89.18,88.87,88.56,88.48,88.45,88.77,89.1,89.58,89.47,89.38,89.39,89.2,89.1,88.85,88.51,88.41,88.57,88.88,89.12,89.37,89.6
29.25,79.5,89.32,89.23,89.19,89.02,88.57,88.35,88.37,88.56,88.9,89.21,89.52,89.66,89.47,89.57,89.23,88.93,88.54,88.43,88.29,88.56,88.98,89.3,89.46,89.5,89.59,89.41,89.24,89.01,88.71,88.27,88.5,88.57,88.83,89.32,89.51,89.61,89.44,89.38,89.16,88.9,88.61,88.47,88.4,88.5,88.95,89.45,89.56,89.53,89.46,89.43,89.29,89.16,88.76,88.31,88.41,88.47,88.87,89.35,89.45,89.48,89.48,89.37,89.24,88.96,88.73,88.54,88.35,88.57,88.91,89.4,89.47,89.59,89.59,89.36,89.26,89.04,88.78,88.43,88.32,88.49,88.73,89.22,89.45,89.48,89.4,89.33,89.14,88.99,88.64,88.4,88.36,88.51,88.86,89.3,89.47,89.5,89.56,89.29,89.23,88.95,88.69,88.41,88.31,88.59,88.86,89.25,89.48,89.5,89.59,89.41,89.21,88.98,88.65,88.49,88.55,88.66,88.86,89.13,89.4,89.27,89.32,89.34,89.2,89.13,88.7,88.34,88.42,88.55,88.71,89.24,89.42,89.47,89.39,89.26,89.16,88.98,88.7,88.2,88.25,88.51,88.84,89.32,89.36,89.38,89.45,89.47,89.26,88.97,88.55,88.37,88.3,88.56,88.82,89.23,89.47,89.43,89.61,89.31,89.37,89.12,88.83,88.3,88.39,88.55,88.83,89.4,89.41,89.52,89.56,89.45,89.45,89.09,88.79,88.5,88.4,88.6,88.94,89.41,89.54,89.57,89.51,89.54,89.35,88.91,88.71,88.58,88.43,88.56,88.81,89.13,89.43,89.5,89.55,89.48,89.15,88.91,88.8,88.46,88.42,88.53,88.86,89.16,89.44,89.58,89.29,89.42,89.18,89,88.77,88.34,88.28,88.42,88.92,89.41,89.51,89.54,89.6,89.47,89.32,89.06,88.81,88.53,88.35,88.53,88.95,89.4,89.51,89.59,89.49,89.54,89.33,89.18,88.87,88.56,88.48,88.45,88.77,89.1,89.58,89.47,89.38,89.39,89.2,89.1,88.85,88.51,88.41,88.57,88.88,89.12,89.37,89.6
29.25,79.75,85.37,85.31,85.31,85.21,84.84,84.64,84.66,84.84,85.13,85.41,85.66,85.73,85.54,85.64,85.36,85.14,84.82,84.73,84.59,84.85,85.22,85.47,85.58,85.57,85.63,85.47,85.36,85.22,84.93,84.57,84.8,84.86,85.09,85.5,85.62,85.67,85.49,85.46,85.32,85.11,84.86,84.74,84.67,84.79,85.2,85.61,85.67,85.62,85.51,85.48,85.41,85.33,84.98,84.6,84.72,84.73,85.14,85.52,85.54,85.56,85.54,85.47,85.36,85.14,85,84.82,84.67,84.86,85.15,85.58,85.58,85.66,85.63,85.42,85.37,85.25,85.03,84.73,84.61,84.78,84.97,85.39,85.58,85.54,85.42,85.4,85.26,85.17,84.88,84.69,84.64,84.79,85.08,85.46,85.6,85.58,85.63,85.37,85.35,85.14,84.94,84.68,84.61,84.87,85.1,85.41,85.59,85.55,85.65,85.46,85.36,85.18,84.91,84.77,84.85,84.96,85.12,85.31,85.53,85.35,85.35,85.4,85.32,85.3,84.95,84.63,84.7,84.86,84.96,85.42,85.55,85.55,85.41,85.32,85.27,85.14,84.94,84.49,84.56,84.8,85.07,85.46,85.45,85.44,85.49,85.54,85.38,85.14,84.81,84.66,84.59,84.83,85.05,85.41,85.57,85.5,85.65,85.35,85.45,85.27,85.05,84.59,84.69,84.8,85.06,85.56,85.51,85.59,85.6,85.54,85.54,85.28,85.04,84.78,84.69,84.85,85.16,85.58,85.67,85.64,85.55,85.63,85.48,85.09,84.96,84.87,84.71,84.86,85.04,85.32,85.55,85.62,85.58,85.56,85.25,85.12,85.05,84.75,84.73,84.8,85.1,85.37,85.57,85.68,85.34,85.5,85.3,85.2,85.01,84.64,84.57,84.71,85.15,85.56,85.63,85.61,85.63,85.52,85.42,85.26,85.03,84.81,84.64,84.82,85.19,85.56,85.63,85.65,85.51,85.61,85.43,85.34,85.1,84.84,84.76,84.75,85.02,85.32,85.69,85.53,85.46,85.47,85.33,85.27,85.07,84.78,84.71,84.83,85.16,85.32,85.48,85.66
29.25,80,85.37,85.31,85.31,85.21,84.84,84.64,84.66,84.84,85.13,85.41,85.66,85.73,85.54,85.64,85.36,85.14,84.82,84.73,84.59,84.85,85.22,85.47,85.58,85.57,85.63,85.47,85.36,85.22,84.93,84.57,84.8,84.86,85.09,85.5,85.62,85.67,85.49,85.46,85.32,85.11,84.86,84.74,84.67,84.79,85.2,85.61,85.67,85.62,85.51,85.48,85.41,85.33,84.98,84.6,84.72,84.73,85.14,85.52,85.54,85.56,85.54,85.47,85.36,85.14,85,84.82,84.67,84.86,85.15,85.58,85.58,85.66,85.63,85.42,85.37,85.25,85.03,84.73,84.61,84.78,84.97,85.39,85.58,85.54,85.42,85.4,85.26,85.17,84.88,84.69,84.64,84.79,85.08,85.46,85.6,85.58,85.63,85.37,85.35,85.14,84.94,84.68,84.61,84.87,85.1,85.41,85.59,85.55,85.65,85.46,85.36,85.18,84.91,84.77,84.85,84.96,85.12,85.31,85.53,85.35,85.35,85.4,85.32,85.3,84.95,84.63,84.7,84.86,84.96,85.42,85.55,85.55,85.41,85.32,85.27,85.14,84.94,84.49,84.56,84.8,85.07,85.46,85.45,85.44,85.49,85.54,85.38,85.14,84.81,84.66,84.59,84.83,85.05,85.41,85.57,85.5,85.65,85.35,85.45,85.27,85.05,84.59,84.69,84.8,85.06,85.56,85.51,85.59,85.6,85.54,85.54,85.28,85.04,84.78,84.69,84.85,85.16,85.58,85.67,85.64,85.55,85.63,85.48,85.09,84.96,84.87,84.71,84.86,85.04,85.32,85.55,85.62,85.58,85.56,85.25,85.12,85.05,84.75,84.73,84.8,85.1,85.37,85.57,85.68,85.34,85.5,85.3,85.2,85.01,84.64,84.57,84.71,85.15,85.56,85.63,85.61,85.63,85.52,85.42,85.26,85.03,84.81,84.64,84.82,85.19,85.56,85.63,85.65,85.51,85.61,85.43,85.34,85.1,84.84,84.76,84.75,85.02,85.32,85.69,85.53,85.46,85.47,85.33,85.27,85.07,84.78,84.71,84.83,85.16,85.32,85.48,85.66
