Latitude,Longitude,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
29,79,35.88,26.31,18.56,23.88,30.19,50.62,70,75.56,56.94,41.75,31.06,29.62,41.25,44.12,31.44,16.94,18.81,37.62,33.44,66.88,73.38,51,39.69,42.25,45.69,48.81,35.5,19.38,14.94,31.38,78.19,83,82.62,57.69,51.88,58.31,58.19,45.06,26.88,22.62,29.25,43.38,63.12,79.25,66.94,54.5,46.25,48.06,51.38,48.5,42.94,23.12,20.88,27.5,72.81,70.56,78.25,64.06,45.75,42.5,41.62,33.88,37.19,20.44,33.69,42.56,72.38,77.19,69.75,49.88,44.12,46.31,33.06,53.75,46.19,26.56,31.75,41.62,68.81,84.94,77.25,52.94,48.88,44.44,39.25,32.38,18,26.5,31.62,63.69,79,86.88,82.62,74.38,63.5,57.25,53.44,42,29.38,21.5,24.88,25.19,54.75,74.44,80.62,60.62,54.69,47.75,44.5,45.06,27.31,13.69,17.5,25.94,70.75,87.56,88.69,78.62,72.12,65.5,59.5,54.38,39,29.69,27.19,49.19,79.5,85.81,87.44,69.25,64,50.5,54.81,41.06,27.25,28,16.56,22.31,61.06,81.12,84.69,62.94,55.56,51.5,53.62,64.75,46.25,31.38,15.62,57.31,82.88,87.25,83.5,77,64,60.19,60.19,59.25,49.38,33.62,27.62,27.94,57.12,66.88,66.94,50.06,41,43.12,53,43.12,53.75,43.19,21.62,35.5,74.19,80.12,64.69,48.88,44.31,38.75,32.12,27.19,31.31,19,30.19,41.19,74.19,81.38,70.31,45.06,36.44,33.62,45.75,36.44,29.06,19.12,24.5,40.19,72.06,75.19,73.62,50.81,47.56,45.31,41.12,34.44,24.38,26.06,21.12,40.75,68.88,84.81,86.19,64.94,57.75,52,52.62,55.88,42.5,30.62,21.5,30.56,64.69,78.94,77.62,58,51.5,56.69,63.94,56.12,57.38,40.88,38.12,47.56,70.06,83.06,67.69,39.62,37.81,39.75,49.31,37.94,24.31,18.81,38.31,53.88,68.56,81.62,82.38,74,65.25,63.25
29,79.25,33.94,27.12,18.06,21.94,30.06,53,73.69,80.19,61.88,43.88,33.5,30,40.25,43.5,31.75,18.56,20.25,37.88,33.94,71.88,76.5,54.31,40.62,40.75,43.12,47.44,34.75,20.62,14.88,31.31,76.25,82.88,84,62,56.69,60.19,59.06,45.5,27.75,23.5,28.94,46.62,72.62,82.25,71.81,57.94,46.69,46.81,49.94,46.5,41.44,23.38,23.38,28.5,77.06,77,80.94,68,47.25,41.81,39.44,33.62,36.12,21.62,35.75,45.19,76.56,80,73.06,51.5,44.56,44.12,32.75,51.5,43.56,26,34.38,44.62,74.19,86.44,82,60.44,53.25,44.44,40.5,35.06,19.5,24.69,29.56,68.44,83,87.31,81.94,75.88,66.81,57.5,51.44,40.31,29.81,20.75,26.12,25.25,60.81,77.88,82.56,63.94,57.94,48.81,45.5,44.5,29.12,14.62,18.56,25.56,74.31,88.19,88.06,77.5,73,62.44,56.44,52.75,37.62,30.5,28.69,50.94,84.31,87,87,72.56,67.12,51.06,56.12,42.25,29.06,28.69,16.56,23.44,66.75,84,85.25,65.62,56.06,49.88,51.81,63.19,45,31.88,17.06,62.88,86.5,87.38,84.25,78.19,63.94,58.94,59.31,59.12,48.88,32.56,27.12,29.06,63.12,72.56,70.25,52.12,40.25,41.81,52,44.06,53.88,44,23.44,37.38,79.06,83.75,70.62,51.69,44.81,40,35,28,30.62,19.38,34.06,46.25,80.31,83.88,79.19,51.75,39.69,37.31,45.44,36.19,29.62,19.88,27.69,42,79.12,83.56,78.81,57.12,49.75,44.81,39,35.25,24.88,28.31,22.94,44.38,73.06,86.12,86.56,67.5,61.38,51.88,52.88,55.88,42.5,32.75,21.62,34.69,72.69,83.88,84.38,63.69,51.75,56.06,65.12,58.06,59.94,44.06,46.44,55.31,77.38,86,71.88,41.5,38.25,37.31,43.56,34.81,23.06,19.81,42,60.06,72.56,84.19,82.56,71.81,63.88,61.88
29,79.5,33.94,27.12,18.06,21.94,30.06,53,73.69,80.19,61.88,43.88,33.5,30,40.25,43.5,31.75,18.56,20.25,37.88,33.94,71.88,76.5,54.31,40.62,40.75,43.12,47.44,34.75,20.62,14.88,31.31,76.25,82.88,84,62,56.69,60.19,59.06,45.5,27.75,23.5,28.94,46.62,72.62,82.25,71.81,57.94,46.69,46.81,49.94,46.5,41.44,23.38,23.38,28.5,77.06,77,80.94,68,47.25,41.81,39.44,33.62,36.12,21.62,35.75,45.19,76.56,80,73.06,51.5,44.56,44.12,32.75,51.5,43.56,26,34.38,44.62,74.19,86.44,82,60.44,53.25,44.44,40.5,35.06,19.5,24.69,29.56,68.44,83,87.31,81.94,75.88,66.81,57.5,51.44,40.31,29.81,20.75,26.12,25.25,60.81,77.88,82.56,63.94,57.94,48.81,45.5,44.5,29.12,14.62,18.56,25.56,74.31,88.19,88.06,77.5,73,62.44,56.44,52.75,37.62,30.5,28.69,50.94,84.31,87,87,72.56,67.12,51.06,56.12,42.25,29.06,28.69,16.56,23.44,66.75,84,85.25,65.62,56.06,49.88,51.81,63.19,45,31.88,17.06,62.88,86.5,87.38,84.25,78.19,63.94,58.94,59.31,59.12,48.88,32.56,27.12,29.06,63.12,72.56,70.25,52.12,40.25,41.81,52,44.06,53.88,44,23.44,37.38,79.06,83.75,70.62,51.69,44.81,40,35,28,30.62,19.38,34.06,46.25,80.31,83.88,79.19,51.75,39.69,37.31,45.44,36.19,29.62,19.88,27.69,42,79.12,83.56,78.81,57.12,49.75,44.81,39,35.25,24.88,28.31,22.94,44.38,73.06,86.12,86.56,67.5,61.38,51.88,52.88,55.88,42.5,32.75,21.62,34.69,72.69,83.88,84.38,63.69,51.75,56.06,65.12,58.06,59.94,44.06,46.44,55.31,77.38,86,71.88,41.5,38.25,37.31,43.56,34.81,23.06,19.81,42,60.06,72.56,84.19,82.56,71.81,63.88,61.88
29,79.75,32.12,26.62,19,22.69,31.69,56.88,75.81,80.44,65.06,47.56,33.81,29.94,41.38,44.88,32.5,18.88,22.94,40.06,34.94,73,76.44,57.19,44.44,39.44,44.88,49.25,34.81,20.88,16,33.12,76.12,82,83.94,64.62,58.31,60.81,60.5,46.88,26.38,24.38,32.06,51.19,76.81,81.31,74.19,60.81,50.31,48.69,51.06,48,43.31,23.19,27.81,31.25,79.56,80,83.06,71.19,50.19,44.44,39.88,32.56,37.81,23.62,40.19,50.94,77.88,81.38,75.88,55.5,48.19,46,31.5,52.19,45,28.44,39.94,49.25,77.56,86.06,82.38,64.75,59.06,46.12,43.06,35.38,20.81,25.5,30.75,72.31,84.56,86.75,81.5,76.56,69.38,58.31,51.06,41,27.88,20.38,29.06,27,66.56,79.56,83.62,64.56,61.25,52.62,49.19,46.44,30.88,15.69,20.88,27.44,76.56,87,86.56,77.31,72.69,59.88,55.06,52.88,39.31,31.19,31.44,54.5,84.69,86.56,86.19,74.31,70.62,52.5,58.81,45.25,30.31,30.12,18.12,26.12,71.5,84.56,85.5,68.56,59,49.19,52.88,63.81,45.81,33.81,19.12,66.88,88.06,87.44,84.12,78.38,61.75,58.44,58.12,58,49.12,32.44,28.75,33.88,67.94,78.12,74.38,56.5,42.19,42.19,52.88,47.88,55.5,48,26.38,40.44,80.25,84.38,71.25,53.81,45.25,37.81,33.69,30.38,31.31,20.19,37.88,52.56,82.38,83.25,81.44,58.25,45.31,40,44.12,36.31,30.06,24.19,31.44,47.12,81.38,85.56,81.25,61.75,54,47.5,38.25,33.56,25.44,32.75,27.44,49.5,76.06,86.44,85.94,67.69,63.81,55,54.75,57.06,45.44,36.12,23.19,39.5,76,84.06,85.81,70.25,55.19,57.62,67.25,60.94,63.56,50.5,56.44,64.06,81.94,86.38,76,46.88,40.5,34.44,39.88,32.94,22.69,22.19,47.5,65.69,76.81,85.38,82.69,72.56,64,62.56
29,80,32.12,26.62,19,22.69,31.69,56.88,75.81,80.44,65.06,47.56,33.81,29.94,41.38,44.88,32.5,18.88,22.94,40.06,34.94,73,76.44,57.19,44.44,39.44,44.88,49.25,34.81,20.88,16,33.12,76.12,82,83.94,64.62,58.31,60.81,60.5,46.88,26.38,24.38,32.06,51.19,76.81,81.31,74.19,60.81,50.31,48.69,51.06,48,43.31,23.19,27.81,31.25,79.56,80,83.06,71.19,50.19,44.44,39.88,32.56,37.81,23.62,40.19,50.94,77.88,81.38,75.88,55.5,48.19,46,31.5,52.19,45,28.44,39.94,49.25,77.56,86.06,82.38,64.75,59.06,46.12,43.06,35.38,20.81,25.5,30.75,72.31,84.56,86.75,81.5,76.56,69.38,58.31,51.06,41,27.88,20.38,29.06,27,66.56,79.56,83.62,64.56,61.25,52.62,49.19,46.44,30.88,15.69,20.88,27.44,76.56,87,86.56,77.31,72.69,59.88,55.06,52.88,39.31,31.19,31.44,54.5,84.69,86.56,86.19,74.31,70.62,52.5,58.81,45.25,30.31,30.12,18.12,26.12,71.5,84.56,85.5,68.56,59,49.19,52.88,63.81,45.81,33.81,19.12,66.88,88.06,87.44,84.12,78.38,61.75,58.44,58.12,58,49.12,32.44,28.75,33.88,67.94,78.12,74.38,56.5,42.19,42.19,52.88,47.88,55.5,48,26.38,40.44,80.25,84.38,71.25,53.81,45.25,37.81,33.69,30.38,31.31,20.19,37.88,52.56,82.38,83.25,81.44,58.25,45.31,40,44.12,36.31,30.06,24.19,31.44,47.12,81.38,85.56,81.25,61.75,54,47.5,38.25,33.56,25.44,32.75,27.44,49.5,76.06,86.44,85.94,67.69,63.81,55,54.75,57.06,45.44,36.12,23.19,39.5,76,84.06,85.81,70.25,55.19,57.62,67.25,60.94,63.56,50.5,56.44,64.06,81.94,86.38,76,46.88,40.5,34.44,39.88,32.94,22.69,22.19,47.5,65.69,76.81,85.38,82.69,72.56,64,62.56
29.25,79,34,26,18.88,26.12,31.56,55.94,75.94,79.44,63.5,46.12,34.94,31.75,41.19,43.62,33.19,20.31,20,37.69,37.69,69.81,72.06,50.88,38.94,39.5,40.19,46.94,36.44,21.75,16.5,33.19,77.88,83.75,82.44,56.38,47.62,52.56,53.88,42.5,26.06,23.69,28.75,46.81,67.56,80.94,68.12,56.62,45.12,45.38,49.25,48.44,43.94,25.5,22.56,29,74.06,75,79.12,63.5,44.5,39.12,39.44,32.75,37.69,23.94,35.5,44.31,73.56,79.31,72.38,52.69,44.56,44.25,32.31,52.19,46.31,28.44,31.38,41.81,72.69,85.12,79.62,54.31,48.88,42.19,39.88,34,19.69,29.06,32.56,66.94,81.5,86.38,80.94,72.75,58.5,50.62,47.69,38.44,29.62,23.75,26.25,26.44,58.25,77.06,80.19,57.75,51.75,43.44,40.94,43.06,27.44,15.38,19.12,29.81,73.19,87.88,86.44,76.38,68.19,58.12,53.12,51.75,38.62,31.06,29.5,53.88,82,85.5,85.69,69.81,64.19,47.19,53.25,41,28.25,31.12,18.19,24.06,65.62,83.31,84.75,64.06,55.31,50.75,52.94,64.94,48.06,34.44,17.81,62.06,85.62,88.06,83.88,76.44,57.31,54.81,56.62,58.62,50.88,35.75,30.31,32,60.56,73.25,72.56,55.44,41.12,41.25,50.69,43.75,55.31,45.56,24.44,37.81,77.38,84.06,68.69,51.69,45.38,40,34.19,30.5,33.5,21.88,31.12,44.31,75,80.94,71.06,45.19,34.75,31.06,45.5,36.62,32,22.62,28.25,43.81,71.38,76.75,75.31,51.5,45.62,42.62,37.81,33.94,26.62,28.12,22.25,46.31,72.31,85.19,84.5,61.56,55.62,48.12,50.38,54.94,43.62,32.5,23.12,31.44,66.38,79.19,79.06,58.56,49.69,50.38,61.38,54.12,57.62,43.06,40.06,49.69,74.06,85.62,72.38,41.94,38.38,37.88,43.69,38.38,26.25,22.19,39.12,53.19,70.44,83.5,81.56,72.62,58.56,57.88
29.25,79.25,34.44,29.75,22.44,29.62,35.81,64.81,82.06,84.5,71.06,51.69,38.12,34.44,44.75,47.06,37.88,26,24.56,43.44,43.56,77.94,77.75,57.19,42.25,40.75,40.81,50.06,41.31,27.12,19.56,38.31,80.62,86.06,85.31,61.75,51.62,54.25,56.75,44.5,29.44,28.62,33.62,54.88,77.88,85,75.12,63.25,48.81,46.81,53.19,53.38,48.88,31.06,29.5,34.19,81.25,82.88,83.69,67.81,45.94,39,38.88,35.31,41.5,29.88,43.19,51.44,80.94,84.31,78.69,60,49.5,44.88,33.81,56.81,48.94,33.12,40.31,50.38,81.12,88.25,84,60.44,52.81,42.31,44,38.19,24.56,32.31,36.12,75.75,86.88,88.25,82.62,75.81,59.44,49.94,45.94,39.25,32.69,26.25,31.69,31.12,68.88,83.38,83.94,62.81,55.44,44.81,41.81,46.69,33.31,19,23.5,33.38,79.69,89.81,87.12,76.56,67.81,54.38,50.25,53.12,42.44,36.75,36.31,60.75,86.75,87.81,85.5,73.12,65.56,46.44,58.31,46.12,32.62,37.62,21.94,29.25,75.25,87.06,85.88,68.56,57.62,48.25,52.88,66.94,50.25,40.31,22.06,71.31,89.38,89.94,85.31,79.31,58.31,54.94,56.38,60.88,54.5,40.19,35.44,38.81,70.44,80.69,79.75,62.94,43.06,39.75,53.25,49.5,59.81,52.75,30.38,44,83.62,87.44,75.25,58.81,50.12,43.06,38.94,35.5,39.25,27,40.25,55.81,83.69,85.38,81.06,53,37.19,34.94,48.94,39.12,37.62,28.25,37,52.44,81.31,86.19,81.56,60,51.62,43.75,37.38,38.38,32.06,35.88,28.62,55.5,79.31,89.06,86,66.38,59.44,49.5,54.94,59.19,49.25,40.75,29.88,39.81,75.88,85.25,86.5,65,51.81,51,66.44,59,63.38,51.81,51.5,62.25,82.5,88.06,77.75,46.69,40.38,36,39.75,40.94,29,26.62,48.75,63.31,77.19,86.62,84.19,71.69,55.62,56.94
29.25,79.5,34.44,29.75,22.44,29.62,35.81,64.81,82.06,84.5,71.06,51.69,38.12,34.44,44.75,47.06,37.88,26,24.56,43.44,43.56,77.94,77.75,57.19,42.25,40.75,40.81,50.06,41.31,27.12,19.56,38.31,80.62,86.06,85.31,61.75,51.62,54.25,56.75,44.5,29.44,28.62,33.62,54.88,77.88,85,75.12,63.25,48.81,46.81,53.19,53.38,48.88,31.06,29.5,34.19,81.25,82.88,83.69,67.81,45.94,39,38.88,35.31,41.5,29.88,43.19,51.44,80.94,84.31,78.69,60,49.5,44.88,33.81,56.81,48.94,33.12,40.31,50.38,81.12,88.25,84,60.44,52.81,42.31,44,38.19,24.56,32.31,36.12,75.75,86.88,88.25,82.62,75.81,59.44,49.94,45.94,39.25,32.69,26.25,31.69,31.12,68.88,83.38,83.94,62.81,55.44,44.81,41.81,46.69,33.31,19,23.5,33.38,79.69,89.81,87.12,76.56,67.81,54.38,50.25,53.12,42.44,36.75,36.31,60.75,86.75,87.81,85.5,73.12,65.56,46.44,58.31,46.12,32.62,37.62,21.94,29.25,75.25,87.06,85.88,68.56,57.62,48.25,52.88,66.94,50.25,40.31,22.06,71.31,89.38,89.94,85.31,79.31,58.31,54.94,56.38,60.88,54.5,40.19,35.44,38.81,70.44,80.69,79.75,62.94,43.06,39.75,53.25,49.5,59.81,52.75,30.38,44,83.62,87.44,75.25,58.81,50.12,43.06,38.94,35.5,39.25,27,40.25,55.81,83.69,85.38,81.06,53,37.19,34.94,48.94,39.12,37.62,28.25,37,52.44,81.31,86.19,81.56,60,51.62,43.75,37.38,38.38,32.06,35.88,28.62,55.5,79.31,89.06,86,66.38,59.44,49.5,54.94,59.19,49.25,40.75,29.88,39.81,75.88,85.25,86.5,65,51.81,51,66.44,59,63.38,51.81,51.5,62.25,82.5,88.06,77.75,46.69,40.38,36,39.75,40.94,29,26.62,48.75,63.31,77.19,86.62,84.19,71.69,55.62,56.94
29.25,79.75,32.25,28.19,24,32.44,40.19,70.81,83.88,85.88,70.56,51.38,37.56,30.19,43.75,48.25,40,26.12,27.5,48.62,45.94,81.25,78.12,57.75,42.94,38.56,41.06,51.31,44.44,27,21.31,41.44,82.75,86.56,85.75,60.12,49.19,52.06,56.31,43.5,28.44,29.62,38.56,60,81.56,85.62,77.25,65.12,50.31,46.75,55.69,55.5,52.06,32.75,35.88,38.44,86,85.88,85.25,69,43.75,37.56,36.88,34.5,43.06,33.19,50.88,58.38,84.62,86.19,80.81,62.44,51.81,45.12,33.12,58.31,50.56,36.75,48.31,58.62,84.62,89.31,84.38,60.75,53.69,39.44,46.19,40,23.38,34.25,40.25,81.44,89.06,89.5,82.88,75.31,58.75,46.94,42.75,38.38,30.94,25.19,36.69,33.88,75.44,85.31,85.06,61.94,54.75,44.75,41.44,46.69,34.5,19.56,27.06,35.56,83.38,90.56,87.88,75.12,64.94,48.62,47.5,53.06,44.06,40.31,40.75,66.5,87.94,89.38,85.19,73.06,64.94,42.44,58.88,48.38,34.44,39.75,24.44,33.12,81,88.19,87.25,70,58.56,46,53.5,68.88,51.5,44.56,24,78.12,90.75,90.5,86.25,79.75,56.19,53.88,55.31,60.56,55.38,42.44,38.12,44.31,76.25,83.56,83.19,67.25,43.62,39.5,56.5,55.62,62.5,59.88,35.38,49.25,85.12,87.56,75.44,59.81,50.81,42.19,37.06,36.56,42.62,29,48.25,66.12,87.69,86.69,84.31,59.19,39.94,36,50.25,39.81,39.38,34.25,44,59.69,86.06,89.44,84.56,63.38,55.19,44.62,37.19,39.75,32.88,42.56,35.5,63.19,82.94,90.31,86.12,66.75,60.75,51.88,58.12,61.88,53.12,46.25,34.06,47.31,81.31,87,89.38,70.75,54.25,53,69.81,60.62,65.5,60,61.12,72.88,86.44,88.81,81.19,51,43.19,34.5,38.12,39.12,28.62,29.69,57.38,70.62,82.25,88.31,85.5,70.06,51,55
29.25,80,32.25,28.19,24,32.44,40.19,70.81,83.88,85.88,70.56,51.38,37.56,30.19,43.75,48.25,40,26.12,27.5,48.62,45.94,81.25,78.12,57.75,42.94,38.56,41.06,51.31,44.44,27,21.31,41.44,82.75,86.56,85.75,60.12,49.19,52.06,56.31,43.5,28.44,29.62,38.56,60,81.56,85.62,77.25,65.12,50.31,46.75,55.69,55.5,52.06,32.75,35.88,38.44,86,85.88,85.25,69,43.75,37.56,36.88,34.5,43.06,33.19,50.88,58.38,84.62,86.19,80.81,62.44,51.81,45.12,33.12,58.31,50.56,36.75,48.31,58.62,84.62,89.31,84.38,60.75,53.69,39.44,46.19,40,23.38,34.25,40.25,81.44,89.06,89.5,82.88,75.31,58.75,46.94,42.75,38.38,30.94,25.19,36.69,33.88,75.44,85.31,85.06,61.94,54.75,44.75,41.44,46.69,34.5,19.56,27.06,35.56,83.38,90.56,87.88,75.12,64.94,48.62,47.5,53.06,44.06,40.31,40.75,66.5,87.94,89.38,85.19,73.06,64.94,42.44,58.88,48.38,34.44,39.75,24.44,33.12,81,88.19,87.25,70,58.56,46,53.5,68.88,51.5,44.56,24,78.12,90.75,90.5,86.25,79.75,56.19,53.88,55.31,60.56,55.38,42.44,38.12,44.31,76.25,83.56,83.19,67.25,43.62,39.5,56.5,55.62,62.5,59.88,35.38,49.25,85.12,87.56,75.44,59.81,50.81,42.19,37.06,36.56,42.62,29,48.25,66.12,87.69,86.69,84.31,59.19,39.94,36,50.25,39.81,39.38,34.25,44,59.69,86.06,89.44,84.56,63.38,55.19,44.62,37.19,39.75,32.88,42.56,35.5,63.19,82.94,90.31,86.12,66.75,60.75,51.88,58.12,61.88,53.12,46.25,34.06,47.31,81.31,87,89.38,70.75,54.25,53,69.81,60.62,65.5,60,61.12,72.88,86.44,88.81,81.19,51,43.19,34.5,38.12,39.12,28.62,29.69,57.38,70.62,82.25,88.31,85.5,70.06,51,55
