Latitude,Longitude,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
29,79,297,307.31,293.5,302.62,269.88,137.44,164.94,234,348.44,70.75,62.62,300.62,137.12,312.5,319,306.19,278.56,217.25,292.62,140.81,113.69,118.81,295.38,299.06,293.25,303.56,305.81,299.31,295.62,257.19,132.75,161.44,187.12,303.69,301.62,181.12,244.62,296.31,302.06,287.25,291.44,272.44,151.5,126.94,48,64.94,318.69,290.56,308.12,324.62,315.44,304,296.12,285.69,132.31,281,111.19,100.62,314.88,303.56,303.88,304.88,310.81,316.12,128.06,193.94,137.75,127.5,150.25,341.88,308.81,305.06,300.44,27.19,312.62,303.69,161.88,204.44,166.44,154.88,147.44,329.75,103.56,307.44,306.06,297.12,306.88,304.69,288.06,149.38,151.5,135.75,312.88,206.12,211.25,292.88,294.44,299.19,318.19,303.38,155.06,294.69,167.94,208.88,150.75,320.19,288.81,301.88,290.38,305.25,301.44,297.38,285.88,297,132.06,131,121.62,295.75,285,293.06,296.06,312.25,312.75,321.19,285,114.12,139.19,124.69,253.31,309.88,286.12,275.31,306.75,304.5,308.81,303.25,299.56,294.5,170.19,159.94,235.06,296.81,296.06,294.44,288.06,289.81,294.81,291.75,270.62,158.88,173.25,200.56,284.94,286.62,297.69,294.62,288.62,285.38,297.19,299.12,279,279.44,208.5,276.12,283.44,294.94,297.62,292.5,288.5,285.12,293.88,270.56,280.38,268.94,235.44,266.69,295.94,299.12,302.56,290.88,292.25,291.94,292.69,291.88,237.44,200,174.75,147.62,263.94,295,292.12,285.75,302.62,293.38,296.81,292.62,282.94,277.06,154.38,228.44,291.44,302.81,301.75,292.69,298.81,301.5,297,286.38,285.94,273.81,187.31,206.12,256.62,316.81,290.25,299.06,308.44,303.69,306.25,297.88,291.88,264.94,181.75,138.88,139,317.38,310.56,277.94,316,311.88,313.38,298.56,329.5,159.94,168.75,142,304.44,308.38,304.75,300.38,294,303.81,298.75,299.19,211.56,237.31,160.81,241.62,120.25,303.12,292.19,297.75
29,79.25,316.62,324.62,314.5,311.06,260.44,144.25,163.19,235.12,359,55.44,40.44,347.38,52.25,347.12,330.62,317.5,265.19,212.5,290.5,142.5,79.88,11.44,340.31,346,321.44,348.56,327.56,312.25,297.94,238,133.56,158.25,136.94,335.56,345,41.81,35.69,320.06,312.56,301.5,297.25,283,146.5,125.88,64.19,43.75,16.81,355.69,14.69,349.12,320.62,309.06,293.5,281.69,127.94,267.81,107.31,51.88,337.88,348.5,320.44,316.38,322.75,327.75,127.56,157.19,134.56,127.88,138.62,359.12,330.31,335.62,311.62,29.88,323.12,305.06,142.38,169.25,162.62,147.25,149.69,357.56,57.25,328.5,329,343.75,313.75,305.5,288.5,143.62,148.06,136.06,337.19,27.38,53.12,331.56,324,317.69,327.62,304.94,169.44,292.25,171.38,196.56,132.44,346.25,353.31,324.06,317.5,322,310.69,300.25,283.38,283.5,128.69,127.44,117,351.31,326.44,330.44,320.94,346.5,331.06,344.56,287.5,122.5,137.19,117.88,226.5,331.69,20.12,8.06,355.56,328.19,326.31,303.81,300.25,293.19,155.62,145.88,204.94,322.69,325.12,312.44,306.25,344.31,302.25,295.75,269.19,145.19,164.19,187.62,285,296.81,314.44,322.62,308.75,310.69,304.5,300.81,283.12,281,198.62,280.12,283.31,305.75,305.25,305.81,304.94,307.25,305.94,289.88,283.81,268.69,239.31,269.38,298.69,314.5,315.69,317.56,308.31,313.25,302.31,292.94,247.31,185.62,161.88,143.38,257.88,307.56,319.69,319.69,317.88,301.19,300.31,297.75,284.06,272.5,150.44,212.69,275.25,344.94,334.12,321.12,309.56,311.31,300.12,290.56,282.69,267.06,174.06,179.31,239.25,353.88,335.94,319.12,355,346,311.44,303.25,293.19,253.56,186.31,142.56,141.5,78,334.81,21.88,356.31,352.19,344.25,310.88,25.62,152,166.38,140.19,261.94,317.81,318.44,310.81,311.19,310.69,300.69,299.31,195.62,246.81,157,237.25,117.81,308.06,318.38,327.69
29,79.5,316.62,324.62,314.5,311.06,260.44,144.25,163.19,235.12,359,55.44,40.44,347.38,52.25,347.12,330.62,317.5,265.19,212.5,290.5,142.5,79.88,11.44,340.31,346,321.44,348.56,327.56,312.25,297.94,238,133.56,158.25,136.94,335.56,345,41.81,35.69,320.06,312.56,301.5,297.25,283,146.5,125.88,64.19,43.75,16.81,355.69,14.69,349.12,320.62,309.06,293.5,281.69,127.94,267.81,107.31,51.88,337.88,348.5,320.44,316.38,322.75,327.75,127.56,157.19,134.56,127.88,138.62,359.12,330.31,335.62,311.62,29.88,323.12,305.06,142.38,169.25,162.62,147.25,149.69,357.56,57.25,328.5,329,343.75,313.75,305.5,288.5,143.62,148.06,136.06,337.19,27.38,53.12,331.56,324,317.69,327.62,304.94,169.44,292.25,171.38,196.56,132.44,346.25,353.31,324.06,317.5,322,310.69,300.25,283.38,283.5,128.69,127.44,117,351.31,326.44,330.44,320.94,346.5,331.06,344.56,287.5,122.5,137.19,117.88,226.5,331.69,20.12,8.06,355.56,328.19,326.31,303.81,300.25,293.19,155.62,145.88,204.94,322.69,325.12,312.44,306.25,344.31,302.25,295.75,269.19,145.19,164.19,187.62,285,296.81,314.44,322.62,308.75,310.69,304.5,300.81,283.12,281,198.62,280.12,283.31,305.75,305.25,305.81,304.94,307.25,305.94,289.88,283.81,268.69,239.31,269.38,298.69,314.5,315.69,317.56,308.31,313.25,302.31,292.94,247.31,185.62,161.88,143.38,257.88,307.56,319.69,319.69,317.88,301.19,300.31,297.75,284.06,272.5,150.44,212.69,275.25,344.94,334.12,321.12,309.56,311.31,300.12,290.56,282.69,267.06,174.06,179.31,239.25,353.88,335.94,319.12,355,346,311.44,303.25,293.19,253.56,186.31,142.56,141.5,78,334.81,21.88,356.31,352.19,344.25,310.88,25.62,152,166.38,140.19,261.94,317.81,318.44,310.81,311.19,310.69,300.69,299.31,195.62,246.81,157,237.25,117.81,308.06,318.38,327.69
29,79.75,326.69,329.81,318.12,308,248.12,163.94,180.5,240.5,335.62,34.25,19.75,2,34.31,356.5,331.5,304.44,212.5,220.19,281.25,161.75,45.94,348.88,355.25,358.12,337.62,359.81,327.19,308.12,286.31,215.06,143.44,171.56,154.06,345.75,352.44,14.06,20.75,331.81,312.19,291.62,294.31,277.25,164.81,136.31,52.94,26.19,16.69,13.31,25.31,351.88,320.62,292.25,285.62,268.62,129.75,239.12,103.25,28.12,349.94,8.19,331.38,319.81,326.12,314.5,132.38,151.56,139.25,134.19,220.88,4.75,340.94,349.56,316.31,29.56,330.88,295.69,304.31,170.38,173.44,156.62,170.12,355.56,28.81,341.81,342.88,359.5,310.38,299.56,277.94,150.56,154.25,151.19,131.94,14,18.06,347.94,340.44,322.56,323.75,296.94,213.19,279.12,189.88,200.62,165.31,0.88,358.12,341.31,334.69,328.12,309.19,294.12,267.44,256.06,133.81,126.56,110.31,349.81,341.88,346.94,335.19,356.19,334.06,326.31,275.88,139.31,147.5,116.38,208.19,341,9.69,3.75,10.19,336.69,324.31,293.56,292.88,282.88,160,154.75,182.75,334.5,344.19,324.12,330.12,2.5,299.31,289.69,252.12,150.69,166.19,191.25,263.88,283.5,332.62,343.81,317.69,312.88,301.75,291.81,274.94,274.12,209.62,264.94,262.12,306.06,306.88,316.75,316.81,324.62,302.81,299.5,276.31,261.94,245.44,256.88,286.69,316,324.19,338.19,313.5,322.19,299.56,285.75,252.56,184.44,168.62,154.12,247.81,321.19,355.56,344.69,324.44,300.25,293.69,289.75,272.88,259.56,159.5,211.69,252.75,350.75,356.56,348.75,317.25,309,293.62,276.69,262.56,253.5,184.06,173.62,234.56,355,355.25,350.06,17.56,350.25,312.81,300.75,285.81,243.12,208.38,154.81,154.5,48.81,355,29.31,5.12,13.31,351.81,321.56,13.69,174.88,178.12,148.31,210.62,342.06,334.44,316.69,322.44,310.12,293.19,288.44,238.38,259,170.12,227.19,103.25,311.56,333.88,346.31
29,80,326.69,329.81,318.12,308,248.12,163.94,180.5,240.5,335.62,34.25,19.75,2,34.31,356.5,331.5,304.44,212.5,220.19,281.25,161.75,45.94,348.88,355.25,358.12,337.62,359.81,327.19,308.12,286.31,215.06,143.44,171.56,154.06,345.75,352.44,14.06,20.75,331.81,312.19,291.62,294.31,277.25,164.81,136.31,52.94,26.19,16.69,13.31,25.31,351.88,320.62,292.25,285.62,268.62,129.75,239.12,103.25,28.12,349.94,8.19,331.38,319.81,326.12,314.5,132.38,151.56,139.25,134.19,220.88,4.75,340.94,349.56,316.31,29.56,330.88,295.69,304.31,170.38,173.44,156.62,170.12,355.56,28.81,341.81,342.88,359.5,310.38,299.56,277.94,150.56,154.25,151.19,131.94,14,18.06,347.94,340.44,322.56,323.75,296.94,213.19,279.12,189.88,200.62,165.31,0.88,358.12,341.31,334.69,328.12,309.19,294.12,267.44,256.06,133.81,126.56,110.31,349.81,341.88,346.94,335.19,356.19,334.06,326.31,275.88,139.31,147.5,116.38,208.19,341,9.69,3.75,10.19,336.69,324.31,293.56,292.88,282.88,160,154.75,182.75,334.5,344.19,324.12,330.12,2.5,299.31,289.69,252.12,150.69,166.19,191.25,263.88,283.5,332.62,343.81,317.69,312.88,301.75,291.81,274.94,274.12,209.62,264.94,262.12,306.06,306.88,316.75,316.81,324.62,302.81,299.5,276.31,261.94,245.44,256.88,286.69,316,324.19,338.19,313.5,322.19,299.56,285.75,252.56,184.44,168.62,154.12,247.81,321.19,355.56,344.69,324.44,300.25,293.69,289.75,272.88,259.56,159.5,211.69,252.75,350.75,356.56,348.75,317.25,309,293.62,276.69,262.56,253.5,184.06,173.62,234.56,355,355.25,350.06,17.56,350.25,312.81,300.75,285.81,243.12,208.38,154.81,154.5,48.81,355,29.31,5.12,13.31,351.81,321.56,13.69,174.88,178.12,148.31,210.62,342.06,334.44,316.69,322.44,310.12,293.19,288.44,238.38,259,170.12,227.19,103.25,311.56,333.88,346.31
29.25,79,339.81,333.5,315.88,310.88,269.25,148,192.56,263.5,353.44,33.38,37.62,11.25,58.94,8.56,341.25,312.06,278.62,257.56,295.12,153.81,74.69,16.06,1.12,8.31,347.88,22,333.62,307.12,293.94,269.75,142.62,195.19,277.75,358,4.06,62.44,51.19,341.25,315.88,295.31,292.81,288,184.19,146.81,11.94,29.62,21.81,19.06,30.5,22.56,333.44,306.56,295.56,281.38,149.12,293.75,101.44,29.31,355,10.19,341,327.56,331.81,317.25,169.38,232.19,152.5,151.5,340.06,6.62,344.56,357.88,328.06,45.69,332.81,303.88,223.75,221.88,200.06,177.44,336.44,357.44,46.81,350.06,346.38,346.69,315.38,309.81,287.31,164.31,176.69,159.19,325.12,14.31,40.56,356.38,345.94,324.56,330.69,307.06,259.12,292.56,219.5,270.44,14.19,352,9.88,347.75,345.75,335,314.5,298.81,281.12,292.69,144.06,138.5,131.69,353.88,357.75,10.06,352.5,9.25,349.38,330,284.81,144.25,163.25,138.62,294.25,344.38,18.56,27.25,14.06,346.12,326.94,306.5,299.62,292.25,210.81,183.19,241.56,329.94,343.88,335.81,326.75,18.69,313.62,291.81,269.88,177.25,195.44,213.38,299.5,313.75,334,344.56,332.31,324.19,314.44,304.06,278.31,279.62,240.62,287.62,294.06,320.44,319.94,326.69,321.25,318.12,315.25,277.19,278.56,269,250.75,273.5,314.94,329.75,327.62,337.75,322.44,318.62,301.38,292.25,247.12,230.81,195.69,174.69,290.62,321.06,337.62,351.75,329.88,310.5,302.5,291.62,280.75,279.56,189,260.06,311.31,354,350.94,348.31,328.88,322.06,305.19,289.62,285.25,269.75,220.75,233.38,284.38,356.12,359,349.25,15.56,22.88,324.38,300.56,293,265.81,229.44,159.38,160.62,358.25,346.25,29.69,11.44,3.25,356.88,309.56,299.5,217.06,214.5,158.5,310.12,334.88,337.88,328.19,344.75,326.19,307.75,300.81,244.56,270.75,213.75,271.56,133,335.06,350.25,3.12
29.25,79.25,306.31,313.38,290.19,291.94,258.19,216.81,205.88,242.44,305.12,328.12,335.69,325.81,60.75,1,316.81,287.5,263,254.62,281.06,201,65.69,324.19,322.06,330.75,318.31,343.44,297.06,280.06,277,256.38,167.75,194.81,206.5,327.44,330.75,10.56,37.56,305.44,301.06,276.81,281.44,276.56,221.69,180.88,312.06,352.88,324.75,337.44,54.94,12.5,304.19,268.94,275.75,264.75,161.31,262.5,125.94,341.88,325.94,10,329,302.94,304,287.12,228.38,231.88,169.94,168.75,248.12,331.19,317.56,326.12,305.62,16.69,314.88,283,250.5,226.94,212.38,197.12,247,324.88,339.06,334.12,344,290.62,294.25,291.31,267,188.06,196.62,194.12,268,294.19,323,316.81,332.25,306.19,301.88,287.5,250.25,276,229.44,248.94,245.38,333.06,335.75,315.69,309.88,312,294.62,283.69,264,269.81,168.31,150,147.69,291.81,308.94,354.94,323.19,350.44,311.31,277.25,266.25,229,187.56,146.12,238.88,304.62,299.19,333.62,20.25,325.06,296.56,282.81,282.12,278.06,213.75,188.38,222.88,304.38,305.75,313.75,287.31,40,294.38,278.44,254.75,199,202.69,213,268.5,275.31,317.94,323.12,305.38,277.88,298.25,288,267.5,271.62,237.06,267.5,267.69,295.31,301.12,306.44,309.38,285,298.75,264.06,265.81,257.75,242.44,258.19,286.69,298.56,305.25,308.06,294.62,279.12,284.69,280.38,248.69,230.81,200.19,181.94,261.12,295.62,303.75,311.62,324.5,286.38,284.88,274.69,260.25,259.62,200.81,236.44,255.38,324.12,329.56,348.69,304.19,300.75,286.12,269.44,268.12,254.94,215.31,217.75,234.44,317.38,311.44,331.38,32.25,8.56,303.62,277.12,277.06,251.94,233.5,182.12,194.12,277.5,329.12,55.62,9.19,334.69,337.31,297.19,285.88,233.5,218.81,176.19,243.19,270.44,314.38,305,322.44,299.56,286.31,279.44,249.44,260.81,216.94,244.44,168.19,302.94,315.38,354.25
29.25,79.5,306.31,313.38,290.19,291.94,258.19,216.81,205.88,242.44,305.12,328.12,335.69,325.81,60.75,1,316.81,287.5,263,254.62,281.06,201,65.69,324.19,322.06,330.75,318.31,343.44,297.06,280.06,277,256.38,167.75,194.81,206.5,327.44,330.75,10.56,37.56,305.44,301.06,276.81,281.44,276.56,221.69,180.88,312.06,352.88,324.75,337.44,54.94,12.5,304.19,268.94,275.75,264.75,161.31,262.5,125.94,341.88,325.94,10,329,302.94,304,287.12,228.38,231.88,169.94,168.75,248.12,331.19,317.56,326.12,305.62,16.69,314.88,283,250.5,226.94,212.38,197.12,247,324.88,339.06,334.12,344,290.62,294.25,291.31,267,188.06,196.62,194.12,268,294.19,323,316.81,332.25,306.19,301.88,287.5,250.25,276,229.44,248.94,245.38,333.06,335.75,315.69,309.88,312,294.62,283.69,264,269.81,168.31,150,147.69,291.81,308.94,354.94,323.19,350.44,311.31,277.25,266.25,229,187.56,146.12,238.88,304.62,299.19,333.62,20.25,325.06,296.56,282.81,282.12,278.06,213.75,188.38,222.88,304.38,305.75,313.75,287.31,40,294.38,278.44,254.75,199,202.69,213,268.5,275.31,317.94,323.12,305.38,277.88,298.25,288,267.5,271.62,237.06,267.5,267.69,295.31,301.12,306.44,309.38,285,298.75,264.06,265.81,257.75,242.44,258.19,286.69,298.56,305.25,308.06,294.62,279.12,284.69,280.38,248.69,230.81,200.19,181.94,261.12,295.62,303.75,311.62,324.5,286.38,284.88,274.69,260.25,259.62,200.81,236.44,255.38,324.12,329.56,348.69,304.19,300.75,286.12,269.44,268.12,254.94,215.31,217.75,234.44,317.38,311.44,331.38,32.25,8.56,303.62,277.12,277.06,251.94,233.5,182.12,194.12,277.5,329.12,55.62,9.19,334.69,337.31,297.19,285.88,233.5,218.81,176.19,243.19,270.44,314.38,305,322.44,299.56,286.31,279.44,249.44,260.81,216.94,244.44,168.19,302.94,315.38,354.25
29.25,79.75,219.06,234.44,233.62,257.88,231.25,212.69,203.25,214.25,236.19,223.56,218.56,229.25,172.88,211.75,253.62,248.12,237.81,233.25,253.12,206.5,170.69,255.56,225.56,226.75,231.56,218.69,234.56,236.75,251.19,233,187.31,194,195.88,248.25,243.62,206.31,186.12,236.94,258.62,248.06,256.81,252.56,216.19,195.06,212.62,211.5,228.56,210.06,154.69,194.75,256.12,223.44,251.69,239.75,182.06,229.44,173.94,219.06,262.81,175.75,229.56,256.94,237.75,246.44,221.25,214.75,190.06,190.12,220.19,244.06,241.12,219.06,242.06,195.69,263.25,248.88,237.12,214.06,205.31,198.5,211.62,237.56,209.44,242.88,179.25,206.56,263.25,259.19,237.81,199.12,197.81,198.12,209.06,223.38,203.06,238.44,226.5,258.62,244.5,244.31,235.19,247.38,217.62,218.5,213.25,268.88,221.62,234.88,230,255.62,257.69,256.44,242.81,241.19,188.25,169.62,171.81,219.44,214.25,192.12,217.25,202.44,238.06,238.62,242.69,212.12,194.19,172.94,208.38,223.62,220,206.75,150.06,201.38,241.06,251.06,253.75,252.5,204.5,193.38,200.25,244.69,231.69,239.25,205.31,153.19,244.19,254.19,232.31,200.5,197.06,206.19,226.25,220.06,206.81,190.94,205.75,202.94,246.94,252.62,245.56,250.25,219.25,235.94,229.88,243.19,243.25,207.56,210.06,202.94,238.31,226.38,244.81,235.69,223.56,229.44,237.19,235,226.31,209.81,231.31,213.56,247.38,258.88,234.06,218.19,198.56,192.69,228.19,234,224.5,213.31,186.5,226.31,242.88,243.94,236.81,227.56,200.75,216,215.38,228.88,193.38,193.44,232.19,238.81,248.06,238.94,244.5,229.94,205.06,202.56,211.31,249.06,220.44,192.31,142.75,186.44,250.44,234.69,251.06,232.44,220.69,193.88,200.94,219.94,224.31,161.75,121.12,217.81,209.38,269.94,257.12,228.81,209.25,189.25,214.75,199,183.88,212.06,206.94,242.31,249.12,249.62,231.25,233.06,210.69,219.31,194.06,228.44,249.31,198.62
29.25,80,219.06,234.44,233.62,257.88,231.25,212.69,203.25,214.25,236.19,223.56,218.56,229.25,172.88,211.75,253.62,248.12,237.81,233.25,253.12,206.5,170.69,255.56,225.56,226.75,231.56,218.69,234.56,236.75,251.19,233,187.31,194,195.88,248.25,243.62,206.31,186.12,236.94,258.62,248.06,256.81,252.56,216.19,195.06,212.62,211.5,228.56,210.06,154.69,194.75,256.12,223.44,251.69,239.75,182.06,229.44,173.94,219.06,262.81,175.75,229.56,256.94,237.75,246.44,221.25,214.75,190.06,190.12,220.19,244.06,241.12,219.06,242.06,195.69,263.25,248.88,237.12,214.06,205.31,198.5,211.62,237.56,209.44,242.88,179.25,206.56,263.25,259.19,237.81,199.12,197.81,198.12,209.06,223.38,203.06,238.44,226.5,258.62,244.5,244.31,235.19,247.38,217.62,218.5,213.25,268.88,221.62,234.88,230,255.62,257.69,256.44,242.81,241.19,188.25,169.62,171.81,219.44,214.25,192.12,217.25,202.44,238.06,238.62,242.69,212.12,194.19,172.94,208.38,223.62,220,206.75,150.06,201.38,241.06,251.06,253.75,252.5,204.5,193.38,200.25,244.69,231.69,239.25,205.31,153.19,244.19,254.19,232.31,200.5,197.06,206.19,226.25,220.06,206.81,190.94,205.75,202.94,246.94,252.62,245.56,250.25,219.25,235.94,229.88,243.19,243.25,207.56,210.06,202.94,238.31,226.38,244.81,235.69,223.56,229.44,237.19,235,226.31,209.81,231.31,213.56,247.38,258.88,234.06,218.19,198.56,192.69,228.19,234,224.5,213.31,186.5,226.31,242.88,243.94,236.81,227.56,200.75,216,215.38,228.88,193.38,193.44,232.19,238.81,248.06,238.94,244.5,229.94,205.06,202.56,211.31,249.06,220.44,192.31,142.75,186.44,250.44,234.69,251.06,232.44,220.69,193.88,200.94,219.94,224.31,161.75,121.12,217.81,209.38,269.94,257.12,228.81,209.25,189.25,214.75,199,183.88,212.06,206.94,242.31,249.12,249.62,231.25,233.06,210.69,219.31,194.06,228.44,249.31,198.62
